location,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
lat,17.39359,17.39359,17.39359,17.39359,17.39359
lon,78.4642,78.4642,78.4642,78.4642,78.4642
timestamp,Temperature ( C),Relative Humidity (%),Wind Speed (km/h),Soil Moisture (m3/m3),Soil Temperature ( C)
20201120T1300,31.4129,37,12.7279215,0.153,36.79
20201120T1400,31.5229,36,13.202726,0.153,37.09
20201120T1500,31.3429,37,13.0447235,0.152,36.59
20201120T1600,30.8629,38,12.55879,0.151,35.27
20201120T1700,29.9229,40,10.30883,0.151,33.21
20201120T1800,28.4029,48,10.514218,0.151,30.68
20201120T1900,26.9029,56,10.44,0.152,28.77
20201120T2000,25.7029,61,9.931042,0.153,27.28
20201120T2100,24.7129,67,8.587338,0.154,26.12
20201120T2200,24.0629,68,8.905908,0.154,25.4
20201120T2300,23.5429,69,9.007196,0.154,24.8
20201121T0000,23.5029,68,8.891344,0.154,24.53
20201121T0100,23.0329,69,8.287822,0.154,24.26
20201121T0200,22.3629,72,7.7043357,0.154,23.77
20201121T0300,21.832901,74,7.5170207,0.154,23.3
20201121T0400,21.4829,76,7.2359104,0.154,22.89
20201121T0500,21.1529,77,7.5685663,0.154,22.55
20201121T0600,21.0029,74,5.815978,0.154,22.25
20201121T0700,22.2929,67,4.0249224,0.154,22.84
20201121T0800,25.1029,54,4.802999,0.153,25.01
20201121T0900,27.3929,44,1.9386592,0.153,27.97
20201121T1000,29.0629,39,2.9024127,0.153,31.18
20201121T1100,30.2329,37,5.4477882,0.152,33.98
20201121T1200,31.0129,36,5.8048253,0.151,36.1
20201121T1300,31.582901,35,6.162207,0.15,37.32
20201121T1400,31.8729,35,6.849467,0.149,37.69
20201121T1500,31.8129,35,7.9932976,0.149,37.22
20201121T1600,31.2129,37,9.779817,0.148,35.6
20201121T1700,30.6329,39,10.086427,0.148,33.59
20201121T1800,29.9029,41,11.165805,0.148,31.86
20201121T1900,28.9229,44,13.698934,0.148,30.57
20201121T2000,27.4729,50,14.417988,0.148,29.42
20201121T2100,26.2229,55,12.599999,0.148,28.24
20201121T2200,25.1929,60,10.446206,0.148,27.15
20201121T2300,24.332901,64,9.422101,0.148,26.22
